,name,cost,time,sequence,veh_list
0,MT_HECVRP_C50_RC6_V5_0.json,2.5753217,0.8611850738525391,"[47 41 26 18 27 44  0 38 28 13 54 35 23 17 22 37 34  4 46 51 21 14  9  0
 52 33  0 45 53  7 30 32 48  0 29 50  8 55 19 42 40 56  3  0 36 39 15 11
 16 25 10  0 31 43  0 12 24  0 20  0 49  0  0  0  0  0  0]","[2 2 2 2 2 2 2 1 1 3 3 1 3 1 1 1 1 1 3 3 3 3 3 1 3 3 3 0 0 0 4 0 0 0 4 4 4
 4 4 4 4 4 4 4 0 0 0 0 2 2 2 0 2 2 2 3 3 3 1 1 4 4 3 3 3 3 3]"
1,MT_HECVRP_C50_RC6_V5_1.json,2.7819486,0.6014711856842041,"[23 25 33 22 44 47 19 16  8  4 29 32  0 56 38  0 51 55 12 49 37 36 21  0
 43 14 42 11 30 10  1 28  0 53  9 13 31  0 24 26  7 18 46 15 54 45 48 27
 34 40 50  0  5  0 35 41 20 52  0  0  0 17  0 39  0  0  0  0  0  0]","[4 4 4 4 4 4 4 4 4 4 1 1 4 1 1 1 0 3 0 3 0 3 0 0 3 3 3 3 3 3 3 2 3 2 2 2 2
 2 1 1 1 1 0 0 0 1 0 2 2 1 2 0 1 1 2 4 4 3 2 3 4 0 0 3 3 0 0 0 0 0]"
2,MT_HECVRP_C50_RC6_V5_2.json,2.669604,0.611196756362915,"[25 36 18 26  0 42 53 21 47 16 55 13 23  5 19 22 20 40 38 33  0  0 31 48
 34 11 54 24 30 56 29  4 51 35  0  9 39 43  0 28 27 10 46 12  7 15  8 50
 17 52  0 32 45 41  0  0 49 14  0  0 37  0 44  0  0  0  0  0  0  0]","[0 0 0 0 0 3 3 3 3 3 3 3 3 3 2 2 2 2 3 2 3 2 4 4 4 4 4 4 1 4 4 4 1 1 4 1 1
 1 1 2 2 2 2 2 0 0 0 0 2 0 2 1 1 1 1 0 3 1 3 1 0 0 4 4 4 4 1 4 4 4]"
3,MT_HECVRP_C50_RC6_V5_3.json,2.4034915,0.6003358364105225,"[43 44 51 38 28  0 42 17 21 29 49  0 20 41 23 22 33 18 39 46 54  0 55 32
 10 26 52 25 15 35 31  7  8 11 12  0 24 34  1  0 50 16 48 37 30 19  9 14
 53 40  0 27 13  0  0 45  0 56  0 47  0 36  0  0  0  0  0  0  0]","[1 1 1 1 1 1 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 4 4 3 3 3 3 4 4 3 4 3 3 4 3 4
 4 4 4 0 0 0 0 0 1 0 1 2 0 0 2 3 1 3 2 2 0 0 2 2 1 1 3 3 3 3 3 3]"
4,MT_HECVRP_C50_RC6_V5_4.json,2.49694,0.5978236198425293,"[20 22 43 45 46 23 29  0  7 38 41 19 51 48  2 15 25 10 26  0 17 39 16 44
 30  3 49 56 37 42  0 14  0 31 21 13 35 55 27  1  0 47 18 36 54  0 34 11
 12 40 50 32 28  9  0 24 52 53  0  0  8  0 33  0  0  0  0  0  0]","[3 3 3 3 3 3 3 3 1 4 1 1 1 1 1 4 4 4 4 1 4 4 4 4 4 4 0 0 0 0 4 0 0 2 2 2 2
 2 2 2 2 0 0 0 0 0 1 1 1 3 3 1 3 1 1 3 3 2 3 2 0 0 2 2 4 4 4 4 4]"
5,MT_HECVRP_C50_RC6_V5_5.json,2.3716784,0.5912137031555176,"[12 16 53  0 45 39 48 46 14 54 44 47  2 51  0 24 38 34  0 30 37 20 17 36
 18  0 22 42 49 13 35  7 19 50 40 23 56  8 28 52 11 32  3  0 25 41  0 31
 10  0  9 21 26 27 15  0 55 43  0 29  0 33  0  0  0  0  0  0]","[1 1 1 1 3 3 3 3 3 3 3 3 3 0 3 0 0 0 0 2 2 4 2 2 2 2 4 4 4 4 4 4 4 4 0 0 0
 0 0 1 1 0 4 4 1 1 0 1 1 1 2 2 2 2 2 2 0 0 0 3 3 1 1 4 4 4 4 4]"
6,MT_HECVRP_C50_RC6_V5_6.json,2.6761384,0.5903565883636475,"[51 38 25 53 54  0 28 48 27 52 37 21 39 56 33 11 46  1 29 15  0 40 20 31
 47  0 16 44 43 41  5 22 34 26 30  7  0 45  0 13 17 49 42 23 14  4  0 24
 32 35 50 12 36  9  0  8  0 19 18  0 10  0 55  0  0  0  0  0]","[1 1 1 1 1 1 1 0 1 1 1 0 0 0 1 0 0 0 1 1 1 4 4 4 0 0 4 4 4 4 4 3 3 3 3 3 3
 2 4 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 0 0 2 2 2 4 4 0 0 4 4 4 4]"
7,MT_HECVRP_C50_RC6_V5_7.json,2.7448895,0.5808713436126709,"[18 55  7 28  0 19 47 21 44 41 32  0 48 15 22 39 51 11 25  0 27 16 46 50
 42  0 26 53 56 34 24 43 17 54  0 29 31 10 37  4  0 23 52 13 38 36 30 12
 45 14  9  0 35 33 40  0  8 49  0  0 20  0  0  0  0  0  0]","[0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 4 4 4 2 4 4 4 4 4 4 1 1 3 1 1 3 3 3 1 3 3
 3 3 3 3 2 2 2 2 2 1 1 2 1 2 2 1 4 4 1 4 3 3 4 0 0 3 3 3 3 3]"
8,MT_HECVRP_C50_RC6_V5_8.json,2.746593,0.5882060527801514,"[56 45 37 41 22 53 23 10 19  0 51 16 26 47 35 28  0 46 24  8 36 25 49  0
 27 33 20 38  0 12 40  9 21 13  0 48 32 54 55 14 31 50 44 39 17 29 18 52
 30  0 11  7 15  0 42  0 34  0  0 43  0  0  0  0  0  0  0  0]","[4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 2 2 2 2 2 2 2 0 0 0 0 0 1 1 1 1 1 1 3 3
 1 3 1 0 3 0 1 0 1 1 3 1 1 2 2 2 3 0 2 4 4 0 4 4 1 1 1 1 1 1 1]"
9,MT_HECVRP_C50_RC6_V5_9.json,2.4978518,0.596167802810669,"[20 21 30 18 47  0 28 42 25 15 55 41 48  0 49 31 17 10 50 19 12 39 38  2
  7 44 52 45  8  0  0 29 14 43 26 11 51  0 13  9 53 27 16  0 23 32 46  0
 40 33 24 34 35  0 22 54 36 37  0 56  0  0  0  0  0  0  0  0  0]","[0 0 0 0 0 0 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 4 2 2 2 2 2 2
 2 1 1 1 1 1 1 0 0 0 0 2 2 2 3 2 2 3 3 3 3 3 1 1 0 0 0 0 0 0 0 0]"
