,name,cost,time,sequence,veh_list
0,MT_HECVRP_C20_RC3_V5_0.json,1.6065152,0.39737558364868164,"[ 5 18  0 13 20  7 16 11 15 19 17  6 22  4 10  8 21 12  0 23 14  9  0  0
  0]",[0 0 0 1 1 1 2 2 2 2 3 3 3 3 4 4 4 2 1 3 4 4 2 4 3]
1,MT_HECVRP_C20_RC3_V5_1.json,1.7517213,0.1403214931488037,"[13 18 10  4  0 12 23 20  7 17 11 15 16  9 22  6  0 21  8  5 19  0  0  2
 14  0  0]",[0 0 0 0 0 1 1 1 2 2 2 2 2 3 3 3 3 4 4 4 4 1 4 2 0 0 2]
2,MT_HECVRP_C20_RC3_V5_2.json,1.6120663,0.13790535926818848,"[12 15 22  9 11  4 23  0 21 19 20  5 17  6  8 13 16 18 10  0  0  0 14  0
  0  7  0]",[0 0 1 1 1 1 1 1 2 2 2 2 3 3 3 4 4 4 4 0 3 2 0 0 4 0 0]
3,MT_HECVRP_C20_RC3_V5_3.json,1.5449519,0.13289141654968262,"[ 7 11 22  0 12 16 17 15 23  9  8 21  4 20 14  6 13 10 19  5  0  0  0  0
 18  0]",[0 0 0 0 1 1 1 1 1 1 2 2 2 2 3 3 3 4 4 4 4 2 3 1 4 4]
4,MT_HECVRP_C20_RC3_V5_4.json,1.75195,0.13879132270812988,"[ 4 14 23  0 19 15 18 20  8 21 10 11 13  7 22 16  9  5  0  0  6  0  0 12
  0 17  0]",[0 0 0 0 1 1 1 1 1 2 2 2 3 3 3 4 4 4 1 3 2 4 2 0 0 4 4]
5,MT_HECVRP_C20_RC3_V5_5.json,1.8634187,0.1313939094543457,"[20 19 16 13 10  6 18 12 21  0  8 15 17  5  7 14  4 23 22 11  0  0  0  9
  0]",[0 0 0 0 1 1 1 1 1 1 2 2 2 3 3 4 4 4 4 4 3 4 0 2 2]
6,MT_HECVRP_C20_RC3_V5_6.json,1.8271673,0.13483405113220215,"[16 12  4 22 13  5 10 15  7  9 20  8 17  6 18 14 23 21 11 19  0  0  0  2
  0  0]",[0 0 0 0 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 4 4 3 0 2 1 2]
7,MT_HECVRP_C20_RC3_V5_7.json,1.6850762,0.13785028457641602,"[ 4 18 10  5  0  6 13 19 17 22 14  8 20 16 12  0  1 21 15 23  7 11  0  0
  9  0  0]",[0 0 0 0 0 1 1 1 2 2 2 2 2 3 3 3 1 4 4 4 4 2 4 2 0 0 1]
8,MT_HECVRP_C20_RC3_V5_8.json,1.7032247,0.13953614234924316,"[10 23 19  9  8 11 18 15  5  0 22  4 14 20  0 16  7  6 12 13  0  0  0 21
  0 17  0]",[0 0 0 0 0 1 1 1 1 1 2 2 2 2 2 3 3 3 4 4 4 3 0 4 4 4 4]
9,MT_HECVRP_C20_RC3_V5_9.json,1.4368725,0.13750243186950684,"[18 23 22 10 15 12 21 11 19 20 13 17  9  7 16  4  0  0  8  5  0  0  0  6
 14  0  0]",[0 0 0 0 0 1 1 1 2 2 2 2 3 3 4 4 2 0 3 4 3 1 4 4 0 0 4]
