Wall time,Step,Value
1750042498.3674629,0,6.477877140045166
1750042572.8611755,50,3.3949356079101562
1750042642.8393059,100,3.2750449180603027
1750042733.7155921,150,3.1585683822631836
1750042813.1382337,200,3.029475688934326
1750042883.1139746,250,2.9932236671447754
1750042954.795221,300,2.9952902793884277
1750043023.258696,350,2.9290053844451904
1750043091.844162,400,2.953782081604004
1750043163.419775,450,2.8462562561035156
1750043232.188952,500,2.8056180477142334
1750043300.766977,550,2.8057138919830322
1750043365.1423545,600,2.7712574005126953
1750043432.1394315,650,2.772520065307617
1750043501.1143138,700,2.757701873779297
1750043569.0714514,750,2.7882087230682373
1750043637.2545207,800,2.711338758468628
1750043703.210079,850,2.7512192726135254
1750043771.969594,900,2.6929287910461426
1750043846.9561944,950,2.6597628593444824
1750043916.558664,1000,2.648066997528076
1750043986.7338905,1050,2.6447560787200928
1750044052.7111542,1100,2.6523752212524414
1750044117.0921862,1150,2.627018451690674
1750044212.9982367,1200,2.6457886695861816
1750044278.3937929,1250,2.6182823181152344
1750044343.4136095,1300,2.616793155670166
1750044408.9919796,1350,2.639436960220337
1750044476.9494128,1400,2.6266884803771973
1750044541.311569,1450,2.6075363159179688
1750044605.2911286,1500,2.608711004257202
1750044669.0838141,1550,2.618910074234009
1750044732.8353646,1600,2.5990169048309326
1750044800.0246258,1650,2.586085319519043
1750044864.4055245,1700,2.5897159576416016
1750044928.3909078,1750,2.5890865325927734
1750044992.3838627,1800,2.6086838245391846
1750045056.548681,1850,2.597679615020752
1750045124.114284,1900,2.577061653137207
1750045188.4985409,1950,2.5632615089416504
1750045252.674062,2000,2.5684800148010254
1750045319.2466915,2050,2.5600695610046387
1750045383.211132,2100,2.5816843509674072
1750045447.6043038,2150,2.5674195289611816
1750045515.1428416,2200,2.5713305473327637
1750045579.1306968,2250,2.5765819549560547
1750045643.7481375,2300,2.593606472015381
1750045710.4875379,2350,2.565755844116211
1750045774.479243,2400,2.5662355422973633
1750045838.2469125,2450,2.5798420906066895
1750045902.4356823,2500,2.570056438446045
1750045969.8104563,2550,2.5689353942871094
1750046036.7913494,2600,2.564533233642578
1750046100.5820553,2650,2.5557069778442383
1750046164.5438888,2700,2.5498645305633545
1750046228.317556,2750,2.54378080368042
1750046292.1097708,2800,2.5489046573638916
1750046356.0625358,2850,2.55562686920166
1750046420.2284255,2900,2.5518743991851807
1750046484.4216778,2950,2.5573413372039795
1750046548.193017,3000,2.583004951477051
1750046611.998592,3050,2.5500264167785645
1750046676.1635942,3100,2.5520641803741455
1750046743.5443432,3150,2.5361523628234863
1750046810.9205446,3200,2.555647850036621
1750046874.5879834,3250,2.533496141433716
1750046937.8382215,3300,2.5559611320495605
1750047001.433,3350,2.5352327823638916
1750047064.6164124,3400,2.5526647567749023
1750047127.3818805,3450,2.5167453289031982
1750047190.7368882,3500,2.541868209838867
1750047257.12851,3550,2.5452868938446045
1750047323.6905222,3600,2.5518198013305664
1750047387.106626,3650,2.5549476146698
1750047450.4589484,3700,2.5418331623077393
1750047513.6482615,3750,2.539468288421631
1750047576.79846,3800,2.5762577056884766
1750047639.9993486,3850,2.5616116523742676
1750047703.3739064,3900,2.5261638164520264
1750047766.5289698,3950,2.542450428009033
1750047829.3156674,4000,2.5339255332946777
1750047895.3049815,4050,2.5175647735595703
1750047958.0676136,4100,2.5398972034454346
1750048021.058928,4150,2.5327014923095703
1750048084.6475077,4200,2.5337536334991455
1750048148.2216392,4250,2.5329771041870117
1750048211.4076617,4300,2.532259464263916
1750048274.5475593,4350,2.521920680999756
1750048337.9303923,4400,2.5332086086273193
1750048402.5313241,4450,2.5391290187835693
1750048468.3152063,4500,2.506380081176758
1750048531.480867,4550,2.5310323238372803
1750048594.656027,4600,2.5509519577026367
1750048658.2340622,4650,2.516991138458252
1750048720.9794006,4700,2.505749225616455
1750048784.3666844,4750,2.510730743408203
1750048847.177904,4800,2.524272918701172
1750048909.9400296,4850,2.5151889324188232
1750048973.3144717,4900,2.5029525756835938
1750049036.2942274,4950,2.517122268676758
1750049099.261731,5000,2.539827585220337
1750049162.433774,5050,2.5500898361206055
1750049226.015942,5100,2.540722131729126
1750049289.4077582,5150,2.529088020324707
1750049355.7817757,5200,2.509459972381592
1750049418.957407,5250,2.5678603649139404
1750049482.5173914,5300,2.531311511993408
1750049545.5031497,5350,2.4894399642944336
1750049608.8697438,5400,2.5036001205444336
1750049671.6590326,5450,2.5543956756591797
1750049734.8348935,5500,2.546602725982666
1750049797.824437,5550,2.5344414710998535
1750049860.778115,5600,2.542304754257202
1750049923.958776,5650,2.5003857612609863
1750049986.9552946,5700,2.520724296569824
1750050049.9306862,5750,2.513021469116211
1750050116.5238314,5800,2.5149927139282227
1750050182.8727546,5850,2.526688814163208
1750050246.0593364,5900,2.5154800415039062
1750050308.6418455,5950,2.5166075229644775
1750050371.605116,6000,2.5167996883392334
1750050434.1805933,6050,2.508096218109131
1750050497.576144,6100,2.524017810821533
1750050560.5345936,6150,2.5165069103240967
1750050623.9319715,6200,2.5092527866363525
1750050690.0887215,6250,2.529919147491455
1750050753.2760065,6300,2.5042471885681152
1750050816.438545,6350,2.5049896240234375
1750050879.6033964,6400,2.5159006118774414
1750050942.818066,6450,2.5281150341033936
1750051005.9943216,6500,2.5264315605163574
1750051068.9624069,6550,2.5180716514587402
1750051135.5269976,6600,2.5417213439941406
1750051198.7239957,6650,2.502728223800659
1750051261.9168682,6700,2.5049831867218018
1750051325.072247,6750,2.516279697418213
1750051388.279218,6800,2.499101161956787
1750051451.4316242,6850,2.513664484024048
1750051514.4046087,6900,2.5146584510803223
1750051577.7777863,6950,2.515888214111328
1750051640.7431827,7000,2.51893949508667
1750051703.344838,7050,2.50773286819458
1750051766.9090922,7100,2.517604351043701
1750051829.4814847,7150,2.506791591644287
1750051892.6536467,7200,2.5354409217834473
1750051955.8283172,7250,2.502020835876465
1750052018.810685,7300,2.5229763984680176
1750052082.0185628,7350,2.5140511989593506
1750052145.1934185,7400,2.4880080223083496
1750052208.1634064,7450,2.4952828884124756
1750052271.323296,7500,2.5082926750183105
1750052334.3422272,7550,2.5073108673095703
1750052397.281701,7600,2.5025858879089355
1750052460.058379,7650,2.500983476638794
1750052523.0352561,7700,2.508977174758911
1750052586.0134134,7750,2.5105433464050293
1750052649.384924,7800,2.508591651916504
1750052712.3818216,7850,2.5084228515625
1750052775.3568697,7900,2.4977447986602783
1750052838.326816,7950,2.4962711334228516
1750052901.093083,8000,2.503321647644043
1750052964.1036503,8050,2.5281262397766113
1750053027.0633276,8100,2.5094361305236816
1750053093.4445026,8150,2.4968478679656982
1750053156.6222744,8200,2.495927095413208
1750053219.970014,8250,2.49648118019104
1750053283.369833,8300,2.49428391456604
