Wall time,Step,Value
1748403055.2162826,0,4.02504301071167
1748403132.7695184,50,2.2495198249816895
1748403210.3135257,100,2.0712313652038574
1748403286.256573,150,2.047147750854492
1748403357.939985,200,2.008890390396118
1748403427.9275725,250,1.9944286346435547
1748403495.337858,300,1.996504783630371
1748403563.0857573,350,1.9558727741241455
1748403634.4896698,400,1.9361250400543213
1748403701.0500727,450,1.93868088722229
1748403770.782587,500,1.933011531829834
1748403837.3824987,550,1.9210288524627686
1748403903.8292422,600,1.9581727981567383
1748403969.7294664,650,1.9399490356445312
1748404029.694881,700,1.9401473999023438
1748404095.7168648,750,1.9314379692077637
1748404162.4919562,800,1.9268945455551147
1748404229.225191,850,1.9364538192749023
1748404295.242016,900,1.9564266204833984
1748404364.3971763,950,1.927804946899414
1748404430.539029,1000,1.9387338161468506
1748404476.534845,1050,1.9286558628082275
1748404546.0522745,1100,1.9225150346755981
1748404593.6489727,1150,1.9266438484191895
1748404639.2216501,1200,1.9233111143112183
1748404686.2185042,1250,1.9090421199798584
1748404731.5788107,1300,1.9087555408477783
1748404776.1868255,1350,1.8882777690887451
1748404822.3541594,1400,1.8967190980911255
1748404867.7453475,1450,1.8740692138671875
1748404913.127989,1500,1.8855987787246704
1748404958.1175191,1550,1.8719366788864136
1748405003.5060349,1600,1.9209980964660645
1748405048.4740102,1650,1.8648619651794434
1748405093.682387,1700,1.8652863502502441
1748405140.261952,1750,1.8692030906677246
1748405187.2234697,1800,1.8548495769500732
1748405232.6031265,1850,1.8525243997573853
1748405277.1823437,1900,1.8432773351669312
1748405321.571487,1950,1.8304132223129272
1748405366.3343673,2000,1.8385754823684692
1748405410.9424746,2050,1.8666746616363525
1748405455.5112522,2100,1.8424370288848877
1748405502.0988882,2150,1.7907004356384277
1748405546.6792223,2200,1.8206901550292969
1748405591.074879,2250,1.8111976385116577
1748405635.8602483,2300,1.8172760009765625
1748405680.0376148,2350,1.7851322889328003
1748405724.806989,2400,1.8088407516479492
1748405768.8135,2450,1.8224923610687256
1748405813.5815418,2500,1.800118088722229
1748405858.1983275,2550,1.7718517780303955
1748405902.9375758,2600,1.7796767950057983
1748405947.3533823,2650,1.791756272315979
1748405991.928782,2700,1.7874237298965454
1748406036.306995,2750,1.8018382787704468
1748406080.517215,2800,1.7834317684173584
1748406124.879534,2850,1.7866792678833008
1748406169.6630285,2900,1.784433126449585
1748406214.2516904,2950,1.7646887302398682
1748406258.4433408,3000,1.7816977500915527
1748406302.821965,3050,1.78671395778656
1748406347.2040656,3100,1.767943263053894
1748406391.9951098,3150,1.7714635133743286
1748406436.3912933,3200,1.7915573120117188
1748406480.7683926,3250,1.7547874450683594
