,name,cost,time,sequence,veh_list
0,MT_HECVRP_C20_RC3_V3_0.json,5.9444704,0.2992894649505615,[13  5 18  0 23 17  6 22  4 14  0  9 21  8 19 12  0 20  7 15 11 16 10  0],[0 0 0 0 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2]
1,MT_HECVRP_C20_RC3_V3_1.json,6.4593387,0.1086432933807373,"[ 9 22  6  0 13 18 10  4 12  0 19  5  8 21 16 15  2  0 23 20 17  0  7 11
 14  0]",[0 0 0 0 1 1 1 1 1 1 2 2 2 2 2 2 2 2 0 0 0 0 1 1 1 1]
2,MT_HECVRP_C20_RC3_V3_2.json,6.2053385,0.1000213623046875,"[14 13 16 18  0 15 12  7  0 10  8  6 17  5  0 22  4 11  9 23 21  0 19 20
  0]",[0 0 0 0 0 1 1 1 1 2 2 2 2 2 2 1 1 1 1 1 1 1 0 0 0]
3,MT_HECVRP_C20_RC3_V3_3.json,6.214601,0.10047221183776855,"[ 7 11 22 16 17 18 10 19  5 13  0 12 15 23  9  8 21  0  0 14  6 20  4  2
  0]",[0 0 0 0 0 0 1 1 1 1 1 2 2 2 2 2 2 2 0 2 2 2 2 2 2]
4,MT_HECVRP_C20_RC3_V3_4.json,6.523303,0.1079261302947998,"[21 10 11  6  0 12  0  5  9 16  7 22 13  1  4 14 23 19 18 15  3  0  0 20
  8 17  0]",[0 0 0 0 0 1 1 2 2 2 2 2 2 2 1 1 1 1 1 1 1 2 1 0 0 0 0]
5,MT_HECVRP_C20_RC3_V3_5.json,7.383224,0.10982275009155273,"[20 19 16 13  6  1  5  7 11  2 10 12 18 23  0 21 15  1 22  4 14  8  9 17
  1  0  0  0]",[0 0 0 0 0 0 1 1 1 1 2 2 2 1 1 2 2 2 1 1 1 1 1 1 1 2 1 0]
6,MT_HECVRP_C20_RC3_V3_6.json,6.1989384,0.1028141975402832,"[ 5 10 15  0 13 16 12  4 22  7  9  3 11 21 23 18 14  2  8 20 17  6 19  0
  0  0]",[0 0 0 0 1 1 1 1 1 1 1 1 2 2 2 2 2 2 0 0 0 0 0 0 2 1]
7,MT_HECVRP_C20_RC3_V3_7.json,6.576425,0.10300970077514648,"[ 4 18 10  5  0 16 12  0  6  0  7 23 15 21 20  8 14  1 17 13 19 22 11  9
  0  0]",[0 0 0 0 0 1 1 1 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 2]
8,MT_HECVRP_C20_RC3_V3_8.json,5.6171975,0.09497237205505371,[22  4 14 20  0 10 23  9 19  8 21 17 13  6  7 16 12  0  0 11 18 15  5  0],[0 0 0 0 0 1 1 1 1 1 1 1 2 2 2 2 2 2 1 2 2 2 2 2]
9,MT_HECVRP_C20_RC3_V3_9.json,6.5137563,0.10471606254577637,"[18 23 22 10 15  0  7  9  8  4  6 14  0  5 16 17 13  0 12 21 11 19  0 20
  0]",[0 0 0 0 0 0 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 0 0]
