,name,cost,time,sequence,veh_list
0,MT_HECVRP_C20_RC3_V3_0.json,2.4272032,0.2865586280822754,"[18  5 13  0  7 15 11 16 20 17  6 22  4 23  9  0  0 10 19  8 12  0 21 14
  0  0]",[0 0 0 0 1 1 1 1 1 2 2 2 2 2 2 2 1 0 0 1 1 0 2 2 2 1]
1,MT_HECVRP_C20_RC3_V3_1.json,2.49591,0.11199808120727539,"[23  4 12 10  0 18 13  0 11 15 16 21  8  9 22  2  6  0  5 20 17  7  0  0
 19  0 14  0]",[0 0 0 0 0 1 1 1 2 2 2 2 2 1 1 2 1 1 2 0 0 0 0 2 0 0 1 1]
2,MT_HECVRP_C20_RC3_V3_2.json,2.3776097,0.11067080497741699,"[22  4 11  9  0 23 19 21 12  0 20 17  6  8  5 13 16 18  0 10  0  0 14  0
 15  7  0]",[0 0 0 0 0 1 1 1 2 2 1 2 2 2 1 0 0 0 1 2 0 2 1 1 1 1 1]
3,MT_HECVRP_C20_RC3_V3_3.json,2.774541,0.1100001335144043,"[17 15 23  9  0 16 22 11  7 14 20  6  0  0  8  4 21  0 13  5 19 10  0  0
 12 18  0]",[0 0 0 0 0 1 1 1 1 2 2 2 2 1 0 0 0 0 1 1 1 2 2 1 0 0 0]
4,MT_HECVRP_C20_RC3_V3_4.json,2.653543,0.10459136962890625,"[ 4 23 14  0 19 15 20 18  8 13  7 22 16  9  0  5 21 10 11  2 17  6 12  0
  0  0]",[0 0 0 0 1 1 1 1 1 2 2 2 2 2 1 2 0 0 0 2 2 1 1 2 1 0]
5,MT_HECVRP_C20_RC3_V3_5.json,2.7582293,0.10511326789855957,"[ 6 21 15  8  9 12 13 10  0 16 19 20  0 14  4 23  0 22  5 11  7  0 18 17
  0  0]",[0 0 0 0 0 1 1 1 1 2 2 2 2 1 1 1 0 1 2 1 2 1 0 0 0 2]
6,MT_HECVRP_C20_RC3_V3_6.json,2.819208,0.10517525672912598,"[22  7  9 20  8  6 19  0 16  4 12 13 15 10  5  0  0 21 23 11 18  0 17  0
 14  0]",[0 0 0 0 0 0 0 0 1 1 1 1 2 2 2 2 1 1 0 1 0 1 2 2 0 0]
7,MT_HECVRP_C20_RC3_V3_7.json,2.3524213,0.10997152328491211,"[ 6  5 10 18  0 17 13 19 14  8 16 12  0  1 21 20 15 22  0 23  7  4  0  0
 11  9  0]",[0 0 0 0 0 1 1 1 1 1 2 2 2 1 0 0 0 1 1 0 0 2 2 0 1 1 1]
8,MT_HECVRP_C20_RC3_V3_8.json,2.4731712,0.10500073432922363,"[ 8 11 18 15  5  0 23 19  9 10 12 16  7  0  6 13  0 22  4 14 20 21  0  0
 17  0]",[0 0 0 0 0 0 1 1 1 1 2 2 2 1 2 2 2 1 1 1 1 0 0 1 0 0]
9,MT_HECVRP_C20_RC3_V3_9.json,2.1620114,0.11052393913269043,"[12 21 20 13 17 23 22 10  9 15  8 16  4  5  7  6  0  2  0  0 19 11  0 18
  0 14  0]",[0 0 0 0 0 1 1 1 1 1 1 2 2 2 2 2 1 0 0 2 2 2 2 1 1 1 1]
